year,price
2013-09-10,40.3
2013-09-11,38.8
2013-09-12,36.7
2013-09-13,33.9
2013-09-14,35.6
2013-09-15,36.2
2013-09-16,32.8
2013-09-17,32.2
2013-09-18,32.5
2013-09-19,34.1
2013-09-22,34.0
2013-09-24,33.5
2013-09-25,30.9
2013-09-26,30.7
2013-09-27,30.8
2013-09-28,31.0
2013-09-29,30.0
2013-10-01,28.1
2013-10-02,31.4
2013-10-03,30.8
2013-10-04,33.5
2013-10-05,37.6
2013-10-06,35.0
2013-10-08,32.3
2013-10-09,33.4
2013-10-10,33.5
2013-10-11,32.5
2013-10-12,34.4
2013-10-13,37.6
2013-10-15,39.0
2013-10-17,41.1
2013-10-18,41.7
2013-10-19,43.6
2013-10-20,45.3
2013-10-22,44.9
2013-10-23,43.5
2013-10-24,42.5
2013-10-25,40.0
2013-10-26,40.9
2013-10-27,40.6
2013-10-29,41.4
2013-10-30,41.7
2013-10-31,45.8
2013-11-01,44.8
2013-11-02,44.3
2013-11-03,46.5
2013-11-05,49.2
2013-11-06,45.1
2013-11-07,45.9
2013-11-08,45.0
2013-11-09,46.1
2013-11-10,43.2
2013-11-12,40.6
2013-11-13,40.2
2013-11-14,40.6
2013-11-15,40.3
2013-11-16,42.0
2013-11-17,45.7
2013-11-19,44.6
2013-11-20,39.8
2013-11-21,37.4
2013-11-22,33.7
2013-11-23,34.6
2013-11-24,35.4
2013-11-26,38.8
2013-11-27,42.2
2013-11-28,41.6
2013-11-29,38.0
2013-11-30,39.4
2013-12-01,42.8
2013-12-03,42.8
2013-12-04,43.8
2013-12-05,45.9
2013-12-06,46.4
2013-12-07,47.1
2013-12-08,47.5
2013-12-10,47.0
2013-12-11,47.4
2013-12-12,45.5
2013-12-13,44.0
2013-12-14,44.7
2013-12-15,47.5
2013-12-17,47.7
2013-12-18,43.8
2013-12-19,39.0
2013-12-20,37.1
2013-12-21,40.3
2013-12-22,44.6
2013-12-24,44.2
2013-12-25,42.8
2013-12-26,43.1
2013-12-27,41.9
2013-12-28,44.3
2013-12-29,47.4
2013-12-31,47.6
2014-01-01,50.5
2014-01-02,56.0
2014-01-03,57.0
2014-01-04,55.4
2014-01-05,57.4
2014-01-07,54.2
2014-01-08,55.6
2014-01-09,53.4
2014-01-10,46.5
2014-01-11,48.0
2014-01-12,55.3
2014-01-14,54.5
2014-01-15,52.9
2014-01-16,53.4
2014-01-17,50.7
2014-01-18,55.8
2014-01-19,55.5
2014-01-21,51.8
2014-01-22,49.7
2014-01-23,47.2
2014-01-24,44.6
2014-01-25,44.5
2014-01-26,49.5
2014-01-27,47.6
2014-01-28,45.0
2014-01-29,44.3
2014-01-30,43.9
2014-02-05,40.7
2014-02-06,49.5
2014-02-07,50.9
2014-02-08,50.6
2014-02-09,49.4
2014-02-11,47.2
2014-02-12,45.0
2014-02-13,44.0
2014-02-14,41.2
2014-02-18,47.6
2014-02-19,50.0
2014-02-20,47.0
2014-02-21,44.2
2014-02-22,48.3
2014-02-23,50.2
2014-02-25,50.9
2014-02-26,51.3
2014-02-27,52.4
2014-02-28,55.1
2014-03-01,56.3
2014-03-02,59.1
2014-03-04,58.2
2014-03-05,57.2
2014-03-06,55.4
2014-03-07,53.3
2014-03-08,54.6
2014-03-09,52.4
2014-03-11,51.2
2014-03-12,53.7
2014-03-13,57.8
2014-03-14,57.7
2014-03-15,58.7
2014-03-16,58.6
2014-03-18,60.8
2014-03-19,60.5
2014-03-20,58.4
2014-03-21,55.6
2014-03-22,54.9
2014-03-23,57.1
2014-03-25,56.5
2014-03-26,57.7
2014-03-27,57.8
2014-03-28,56.9
2014-03-29,56.1
2014-03-30,54.2
2014-04-01,52.0
2014-04-02,50.2
2014-04-03,51.8
2014-04-04,52.8
2014-04-08,49.8
2014-04-09,44.4
2014-04-10,43.2
2014-04-11,44.1
2014-04-12,46.3
2014-04-13,47.9
2014-04-15,49.2
2014-04-16,49.2
2014-04-17,46.2
2014-04-18,43.4
2014-04-19,42.7
2014-04-20,42.2
2014-04-22,41.7
2014-04-23,43.1
2014-04-24,40.8
2014-04-25,41.0
2014-04-26,42.5
2014-04-27,47.0
2014-04-29,49.5
2014-04-30,47.8
2014-05-01,47.4
2014-05-02,45.3
2014-05-03,45.0
2014-05-04,44.6
2014-05-06,44.1
2014-05-07,42.9
2014-05-08,41.6
2014-05-09,42.7
2014-05-10,45.7
2014-05-11,48.9
2014-05-13,48.9
2014-05-14,50.0
2014-05-15,48.4
2014-05-16,44.5
2014-05-17,47.9
2014-05-18,48.3
2014-05-20,43.2
2014-05-21,43.1
2014-05-22,41.8
2014-05-23,42.0
2014-05-24,44.3
2014-05-25,41.3
2014-05-27,41.3
2014-05-28,44.8
2014-05-29,42.8
2014-05-30,39.7
2014-05-31,39.5
2014-06-01,37.7
2014-06-02,37.8
2014-06-05,39.1
2014-06-06,33.8
2014-06-07,28.8
2014-06-08,26.8
2014-06-10,26.2
2014-06-11,27.9
2014-06-12,28.6
2014-06-13,26.5
2014-06-14,26.1
2014-06-15,26.3
2014-06-17,26.6
