trade_date,price
2014-01-15,52.90
2014-01-16,53.40
2014-01-17,50.70
2014-01-18,55.80
2014-01-19,55.50
2014-01-21,51.80
2014-01-22,49.70
2014-01-23,47.20
2014-01-24,44.60
2014-01-25,44.50
2014-01-26,49.50
2014-01-27,47.60
2014-01-28,45.00
2014-01-29,44.30
2014-01-30,43.90
2014-02-05,40.70
2014-02-06,49.50
2014-02-07,50.90
2014-02-08,50.60
2014-02-09,49.40
2014-02-11,47.20
2014-02-12,45.00
2014-02-13,44.00
2014-02-14,41.20
2014-02-18,47.60
2014-02-19,50.00
2014-02-20,47.00
2014-02-21,44.20
2014-02-22,48.30
2014-02-23,50.20
2014-02-25,50.90
2014-02-26,51.30
2014-02-27,52.40
2014-02-28,55.10
2014-03-01,56.30
2014-03-02,59.10
2014-03-04,58.20
2014-03-05,57.20
2014-03-06,55.40
2014-03-07,53.30
2014-03-08,54.60
2014-03-09,52.40
2014-03-11,51.20
2014-03-12,53.70
2014-03-13,57.80
2014-03-14,57.70
2014-03-15,58.70
2014-03-16,58.60
2014-03-18,60.80
2014-03-19,60.50
2014-03-20,58.40
2014-03-21,55.60
2014-03-22,54.90
2014-03-23,57.10
2014-03-25,56.50
2014-03-26,57.70
2014-03-27,57.80
2014-03-28,56.90
2014-03-29,56.10
2014-03-30,54.20
2014-04-01,52.00
2014-04-02,50.20
2014-04-03,51.80
2014-04-04,52.80
2014-04-08,49.80
2014-04-09,44.40
2014-04-10,43.20
2014-04-11,44.10
2014-04-12,46.30
2014-04-13,47.90
2014-04-15,49.20
2014-04-16,49.20
2014-04-17,46.20
2014-04-18,43.40
2014-04-19,42.70
2014-04-20,42.20
2014-04-22,41.70
2014-04-23,43.10
2014-04-24,40.80
2014-04-25,41.00
2014-04-26,42.50
2014-04-27,47.00
2014-04-29,49.50
2014-04-30,47.80
2014-05-01,47.40
2014-05-02,45.30
2014-05-03,45.00
2014-05-04,44.60
2014-05-06,44.10
2014-05-07,42.90
2014-05-08,41.60
2014-05-09,42.70
2014-05-10,45.70
2014-05-11,48.90
2014-05-13,48.90
2014-05-14,50.00
2014-05-15,48.40
2014-05-16,44.50
2014-05-17,47.90
2014-05-18,48.30
2014-05-20,43.20
2014-05-21,43.10
2014-05-22,41.80
2014-05-23,42.00
2014-05-24,44.30
2014-05-25,41.30
2014-05-27,41.30
2014-05-28,44.80
2014-05-29,42.80
2014-05-30,39.70
2014-05-31,39.50
2014-06-01,37.70
2014-06-02,37.80
2014-06-05,39.10
2014-06-06,33.80
2014-06-07,28.80
2014-06-08,26.80
2014-06-10,26.20
2014-06-11,27.90
2014-06-12,28.60
2014-06-13,26.50
2014-06-14,26.10
2014-06-15,26.30
2014-06-17,26.60
2014-06-18,25.90
2014-06-19,22.80
2014-06-20,21.30
2014-06-21,21.60
2014-06-22,21.70
2014-06-24,21.90
2014-06-25,24.60
2014-06-26,23.90
2014-06-27,22.70
2014-06-28,25.00
2014-06-29,25.10
2014-07-01,21.80
2014-07-02,19.40
2014-07-03,15.70
2014-07-04,13.30
2014-07-05,14.00
2014-07-06,15.30
2014-07-08,15.20
2014-07-09,15.50
2014-07-10,17.60
2014-07-11,17.90
2014-07-12,17.20
2014-07-13,16.50
2014-07-15,16.50
2014-07-16,17.00
2014-07-17,15.10
2014-07-18,13.00
2014-07-19,14.70
2014-07-20,17.00
2014-07-22,19.80
2014-07-23,22.70
2014-07-24,21.80
2014-07-25,20.40
2014-07-26,23.90
2014-07-27,25.90
2014-07-29,23.90
2014-07-30,22.00
2014-07-31,20.60
2014-08-01,21.60
2014-08-02,25.00
2014-08-03,27.20
2014-08-05,27.40
2014-08-06,28.30
2014-08-07,30.70
2014-08-08,33.30
2014-08-09,35.20
2014-08-10,36.70
2014-08-13,32.70
2014-08-14,33.40
2014-08-15,32.60
2014-08-16,35.20
2014-08-17,37.70
2014-08-19,34.80
2014-08-20,33.20
2014-08-21,36.50
2014-08-22,37.30
2014-08-23,38.50
2014-08-24,38.00
2014-08-26,36.80
2014-08-27,36.10
2014-08-28,34.80
2014-08-29,30.50
2014-08-30,28.80
2014-08-31,28.10
2014-09-02,27.10
2014-09-03,27.50
2014-09-04,24.60
2014-09-05,21.90
2014-09-06,21.60
2014-09-07,21.10
2014-09-08,22.10
2014-09-11,21.50
2014-09-12,19.00
2014-09-13,19.10
2014-09-14,19.80
2014-09-16,19.60
2014-09-17,20.90
2014-09-18,20.50
2014-09-19,19.30
2014-09-20,20.70
2014-09-21,20.80
2014-09-23,23.10
2014-09-24,23.90
2014-09-25,21.90
2014-09-26,21.20
2014-09-27,22.80
2014-09-28,24.80
2014-09-30,25.80
2014-10-01,26.00
2014-10-02,26.30
2014-10-03,25.50
2014-10-04,26.00
2014-10-05,27.20
2014-10-07,26.90
2014-10-08,28.60
2014-10-09,27.80
2014-10-10,28.10
2014-10-11,30.10
2014-10-12,30.90
2014-10-14,29.20
2014-10-15,27.90
2014-10-16,28.90
2014-10-17,28.40
2014-10-18,28.80
2014-10-19,28.80
2014-10-21,29.90
2014-10-22,31.10
2014-10-23,31.20
2014-10-24,30.20
2014-10-25,29.50
2014-10-26,30.20
2014-10-28,29.10
2014-10-29,26.60
2014-10-30,23.00
2014-10-31,20.60
2014-11-01,20.20
2014-11-02,20.90
2014-11-04,21.80
2014-11-05,25.20
2014-11-06,29.20
2014-11-07,27.60
2014-11-08,26.70
2014-11-09,27.80
2014-11-11,29.80
2014-11-12,28.50
2014-11-13,27.80
2014-11-14,25.60
2014-11-15,25.60
2014-11-16,27.60
2014-11-18,27.80
2014-11-19,26.80
2014-11-20,27.90
2014-11-21,29.50
2014-11-22,28.90
2014-11-23,31.30
2014-11-25,30.10
2014-11-26,29.10
2014-11-27,27.40
2014-11-28,25.50
2014-11-29,25.20
2014-11-30,25.70
2014-12-02,24.90
2014-12-03,25.30
2014-12-04,26.60
2014-12-05,26.90
2014-12-06,28.00
2014-12-07,28.50
2014-12-09,28.90
2014-12-10,27.40
2014-12-11,26.00
2014-12-12,23.10
2014-12-13,21.00
2014-12-14,21.10
2014-12-16,22.20
2014-12-17,23.20
2014-12-18,23.30
2014-12-19,24.50
2014-12-20,25.00
2014-12-23,28.00
2014-12-24,28.00
2014-12-25,28.40
2014-12-26,29.10
2014-12-27,29.50
2014-12-28,28.60
2014-12-30,28.80
2014-12-31,31.10
2015-01-01,34.10
2015-01-02,35.00
2015-01-03,33.90
2015-01-04,35.50
2015-01-06,35.70
2015-01-07,34.50
2015-01-08,35.40
2015-01-09,33.90
2015-01-10,32.80
2015-01-11,31.70
2015-01-13,32.20
2015-01-14,32.90
2015-01-15,33.30
2015-01-16,33.80
2015-01-17,34.70
2015-01-18,36.30
2015-01-20,35.80
2015-01-21,33.90
2015-01-22,34.30
2015-01-23,35.00
2015-01-24,34.90
2015-01-25,34.10
2015-01-27,32.50
2015-01-28,32.20
2015-01-29,34.30
2015-01-30,33.90
2015-01-31,36.20
2015-02-01,38.00
2015-02-03,37.50
2015-02-04,36.30
2015-02-05,33.00
2015-02-06,31.20
2015-02-07,33.40
2015-02-08,33.80
2015-02-10,32.80
2015-02-11,32.30
2015-02-12,33.00
2015-02-13,32.90
2015-02-14,33.50
2015-02-15,33.10
2015-02-16,32.60
2015-02-17,29.00
2015-02-18,31.10
2015-02-24,31.80
2015-02-25,30.60
2015-02-26,30.40
2015-02-28,32.30
2015-03-01,34.60
2015-03-03,37.30
2015-03-04,35.70
2015-03-05,36.60
2015-03-06,36.70
2015-03-10,33.50
2015-03-11,30.40
2015-03-12,29.00
2015-03-13,28.10
2015-03-14,31.10
2015-03-15,33.30
2015-03-17,30.90
2015-03-18,30.70
2015-03-19,36.70
2015-03-20,35.60
2015-03-21,33.30
2015-03-22,32.80
2015-03-24,37.50
2015-03-25,35.10
2015-03-26,32.90
2015-03-27,29.50
2015-03-28,26.80
2015-03-29,29.40
2015-03-31,32.70
2015-04-01,30.20
2015-04-02,28.70
2015-04-03,26.00
2015-04-04,24.30
2015-04-07,22.70
2015-04-08,21.90
2015-04-09,22.50
2015-04-10,22.40
2015-04-11,23.90
2015-04-12,24.90
2015-04-14,24.90
2015-04-15,23.90
2015-04-16,22.90
2015-04-17,22.20
2015-04-18,22.60
2015-04-19,23.20
2015-04-21,23.30
2015-04-22,23.00
2015-04-23,23.90
2015-04-24,25.30
2015-04-25,26.00
2015-04-26,26.80
2015-04-28,27.70
2015-04-29,28.20
2015-04-30,28.60
2015-05-01,27.80
2015-05-02,26.70
2015-05-03,26.60
2015-05-05,26.10
2015-05-06,24.10
2015-05-07,23.70
2015-05-08,25.60
2015-05-09,27.40
2015-05-10,27.40
2015-05-12,25.40
2015-05-13,25.30
2015-05-14,25.40
2015-05-15,24.80
2015-05-16,24.30
2015-05-17,24.80
2015-05-19,27.40
2015-05-20,26.10
2015-05-21,22.90
2015-05-22,21.70
2015-05-23,22.50
2015-05-24,22.70
2015-05-26,22.80
2015-05-27,23.70
2015-05-28,23.20
2015-05-29,21.80
2015-05-30,25.30
2015-05-31,27.00
2015-06-02,26.30
2015-06-03,26.00
2015-06-04,24.40
2015-06-05,23.30
2015-06-06,22.90
2015-06-07,21.00
2015-06-09,22.80
2015-06-10,22.60
2015-06-11,20.90
2015-06-12,19.90
2015-06-13,20.00
2015-06-14,21.80
2015-06-16,21.30
2015-06-17,17.50
2015-06-18,16.10
2015-06-19,15.40
2015-06-20,15.10
2015-06-23,14.80
2015-06-24,15.20
2015-06-25,13.50
2015-06-26,12.70
2015-06-27,12.30
2015-06-28,13.10
2015-06-30,14.10
2015-07-01,13.80
2015-07-02,13.50
2015-07-03,14.00
2015-07-04,14.50
2015-07-05,16.00
2015-07-07,16.50
2015-07-08,16.80
2015-07-09,16.00
2015-07-10,14.10
2015-07-11,15.80
2015-07-12,17.90
2015-07-14,19.00
2015-07-15,21.50
2015-07-16,21.80
2015-07-17,22.30
2015-07-18,25.60
2015-07-19,25.50
2015-07-21,24.10
2015-07-22,26.20
2015-07-23,27.10
2015-07-24,28.10
2015-07-25,26.50
2015-07-26,25.90
2015-07-28,27.30
2015-07-29,27.30
2015-07-30,27.30
2015-07-31,27.60
2015-08-01,26.10
2015-08-02,26.60
2015-08-04,28.80
2015-08-05,28.40
2015-08-06,28.80
2015-08-07,27.90
2015-08-08,25.20
2015-08-09,23.90
2015-08-11,27.70
2015-08-12,29.10
2015-08-13,31.40
2015-08-14,31.70
2015-08-15,33.00
2015-08-16,34.80
2015-08-18,33.20
2015-08-19,30.00
2015-08-20,26.40
2015-08-21,24.60
2015-08-22,24.50
2015-08-23,25.90
2015-08-25,25.80
2015-08-26,28.40
2015-08-27,32.10
2015-08-28,33.70
2015-09-01,36.40
2015-09-02,37.70
2015-09-03,43.20
2015-09-04,46.40
2015-09-05,46.10
2015-09-06,48.60
2015-09-08,47.10
2015-09-09,52.20
2015-09-10,56.10
2015-09-11,59.50
2015-09-12,59.00
2015-09-13,57.10
2015-09-15,56.70
2015-09-16,56.60
2015-09-17,49.80
2015-09-18,45.50
2015-09-19,47.40
2015-09-20,50.00
2015-09-22,49.30
2015-09-23,48.60
2015-09-24,46.90
2015-09-25,44.70
2015-09-26,46.60
2015-09-27,46.80
2015-09-30,44.30
2015-10-01,43.20
2015-10-02,45.00
2015-10-03,46.80
2015-10-04,47.80
2015-10-06,47.50
2015-10-07,48.10
2015-10-08,50.80
2015-10-09,46.60
2015-10-10,45.70
2015-10-11,48.60
2015-10-13,53.30
2015-10-14,50.40
2015-10-15,52.00
2015-10-16,54.30
2015-10-17,55.60
2015-10-18,55.50
2015-10-20,56.20
2015-10-21,57.50
2015-10-22,58.10
2015-10-23,61.10
2015-10-24,62.70
2015-10-25,65.50
2015-10-27,66.30
2015-10-28,65.60
2015-10-29,63.90
2015-10-30,67.50
2015-10-31,69.60
2015-11-01,70.80
2015-11-03,70.60
2015-11-04,65.30
2015-11-05,59.50
2015-11-06,58.80
2015-11-07,58.20
2015-11-08,56.30
2015-11-10,56.90
2015-11-11,57.40
2015-11-12,59.60
2015-11-13,55.00
2015-11-14,57.50
2015-11-15,55.50
2015-11-17,53.80
2015-11-18,51.30
2015-11-19,49.20
2015-11-20,48.40
2015-11-21,49.10
2015-11-22,48.60
2015-11-24,50.70
2015-11-25,54.80
2015-11-26,55.00
2015-11-27,54.00
2015-11-28,54.50
2015-11-29,54.90
2015-12-01,53.50
2015-12-02,53.80
2015-12-03,52.70
2015-12-04,49.80
2015-12-05,47.10
2015-12-06,46.30
2015-12-08,49.00
2015-12-09,51.70
2015-12-10,54.20
2015-12-11,54.30
2015-12-12,54.30
2015-12-13,53.90
2015-12-15,55.00
2015-12-16,53.20
2015-12-17,52.90
2015-12-18,52.90
2015-12-19,51.90
2015-12-20,52.70
2015-12-22,55.20
2015-12-23,55.00
2015-12-24,55.60
2015-12-25,57.80
2015-12-26,56.00
2015-12-27,56.00
2015-12-29,55.90
2015-12-30,55.60
2015-12-31,54.80
2016-01-01,53.40
2016-01-02,53.60
2016-01-03,53.00
2016-01-05,52.50
2016-01-06,51.60
2016-01-07,48.50
2016-01-08,49.10
2016-01-09,54.60
2016-01-10,54.50
2016-01-12,52.60
2016-01-13,50.90
2016-01-14,51.70
2016-01-15,51.50
2016-01-16,47.80
2016-01-17,43.90
2016-01-19,46.00
2016-01-20,48.70
2016-01-21,49.30
2016-01-22,50.80
2016-01-23,51.10
2016-01-24,50.30
2016-01-26,52.50
2016-01-27,53.30
2016-01-28,59.40
2016-01-29,54.40
2016-01-30,55.80
2016-01-31,56.50
2016-02-01,55.10
2016-02-02,51.20
2016-02-03,51.50
2016-02-04,50.10
2016-02-05,46.50
2016-02-06,45.50
2016-02-07,46.10
2016-02-13,46.70
2016-02-14,49.80
2016-02-17,52.90
2016-02-18,52.50
2016-02-19,56.70
2016-02-20,58.70
2016-02-21,58.30
2016-02-25,57.50
2016-02-26,55.30
2016-02-27,55.80
2016-02-28,55.90
2016-03-01,58.90
2016-03-02,58.80
2016-03-03,59.00
2016-03-04,62.20
2016-03-05,60.00
2016-03-06,62.20
2016-03-08,69.30
2016-03-09,72.30
2016-03-10,69.70
2016-03-11,63.80
2016-03-12,60.40
2016-03-13,60.10
2016-03-15,61.80
2016-03-16,62.80
2016-03-17,64.60
2016-03-18,65.60
2016-03-19,63.60
2016-03-20,62.20
2016-03-22,66.70
2016-03-23,70.40
2016-03-24,69.70
2016-03-25,67.10
